1310.001,0.08007813,0.9013672,0.05175781,-6.96875,-0.125,6.5,0.05566406,0.3535156,0.8447266,0.15625,-1.1875,-1.84375,0.1953125,0.7929688,-0.2421875,0.40625,1.28125,-0.6875,162.19,241.0829,123.8274,148.2097,118.4367,123.1953,0.0
1310.017,0.08007813,0.9013672,0.05175781,-6.96875,-0.125,6.5,0.05566406,0.3535156,0.8447266,0.15625,-1.1875,-1.84375,0.1953125,0.7929688,-0.2421875,0.40625,1.28125,-0.6875,162.19,241.0829,123.8274,148.2097,118.4367,123.1953,0.03333333333333333
1310.051,0.05859375,1.009766,0.05273438,4.75,0.59375,4.4375,0.09960938,0.3300781,0.84375,-2.625,-1.53125,-0.6875,0.02539063,1.039063,-0.2011719,0.03125,2.25,-0.5625,162.19,241.0829,123.8274,148.2097,118.4367,123.1953,0.06666666666666667
1310.084,0.05859375,1.009766,0.05273438,4.75,0.59375,4.4375,0.09960938,0.3300781,0.84375,-2.625,-1.53125,-0.6875,0.02539063,1.039063,-0.2011719,0.03125,2.25,-0.5625,162.19,241.0829,123.8274,148.2097,118.4367,123.1953,0.1
1310.117,0.05859375,1.009766,0.05273438,4.75,0.59375,4.4375,0.09960938,0.3300781,0.84375,-2.625,-1.53125,-0.6875,0.02539063,1.039063,-0.2011719,0.03125,2.25,-0.5625,162.19,241.0829,123.8274,148.2097,118.4367,123.1953,0.13333333333333333
1310.15,0.05859375,1.009766,0.05273438,4.75,0.59375,4.4375,0.09960938,0.3300781,0.84375,-2.625,-1.53125,-0.6875,-0.1162109,1.009766,-0.1318359,-1.1875,-1.34375,1.75,162.19,241.0829,123.8274,147.5279,118.5507,123.1125,0.16666666666666666
1310.184,0.05859375,1.009766,0.05273438,4.75,0.59375,4.4375,0.09960938,0.3300781,0.84375,-2.625,-1.53125,-0.6875,-0.1162109,1.009766,-0.1318359,-1.1875,-1.34375,1.75,162.19,241.0829,123.8274,147.319,119.0159,123.194,0.2
1310.217,0.05859375,1.009766,0.05273438,4.75,0.59375,4.4375,0.09960938,0.3300781,0.84375,-2.625,-1.53125,-0.6875,-0.1162109,1.009766,-0.1318359,-1.1875,-1.34375,1.75,162.19,241.0829,123.8274,147.319,119.0159,123.194,0.23333333333333334
1310.25,0.05859375,1.009766,0.05273438,4.75,0.59375,4.4375,0.09960938,0.3300781,0.84375,-2.625,-1.53125,-0.6875,0.1513672,0.9658203,-0.1601563,-0.1875,-1.59375,-0.125,162.19,241.0829,123.8274,147.319,119.0159,123.194,0.26666666666666666
1310.284,0.05859375,1.009766,0.05273438,4.75,0.59375,4.4375,0.09960938,0.3300781,0.84375,-2.625,-1.53125,-0.6875,0.1513672,0.9658203,-0.1601563,-0.1875,-1.59375,-0.125,162.5626,240.709,123.1638,148.1879,119.7084,122.5569,0.3
1310.317,0.05859375,1.009766,0.05273438,4.75,0.59375,4.4375,0.09960938,0.3300781,0.84375,-2.625,-1.53125,-0.6875,0.1513672,0.9658203,-0.1601563,-0.1875,-1.59375,-0.125,162.5626,240.709,123.1638,148.1879,119.7084,122.5569,0.3333333333333333
1310.35,0.05859375,1.009766,0.05273438,4.75,0.59375,4.4375,0.09960938,0.3300781,0.84375,-2.625,-1.53125,-0.6875,0.03320313,0.9179688,-0.1347656,0.40625,1.6875,-1.96875,162.3188,240.7706,122.6327,148.1879,119.7084,122.5569,0.36666666666666664
1310.384,0.05859375,1.009766,0.05273438,4.75,0.59375,4.4375,0.1210938,0.2978516,0.796875,-0.25,-3.0,-0.3125,0.03320313,0.9179688,-0.1347656,0.40625,1.6875,-1.96875,162.3188,240.7706,122.6327,147.9152,119.4354,122.2985,0.4
1310.417,0.05859375,1.009766,0.05273438,4.75,0.59375,4.4375,0.1210938,0.2978516,0.796875,-0.25,-3.0,-0.3125,0.03320313,0.9179688,-0.1347656,0.40625,1.6875,-1.96875,162.3188,240.7706,122.6327,147.9152,119.4354,122.2985,0.43333333333333335
1310.451,0.05859375,1.009766,0.05273438,4.75,0.59375,4.4375,0.1210938,0.2978516,0.796875,-0.25,-3.0,-0.3125,0.03320313,0.9179688,-0.1347656,0.40625,1.6875,-1.96875,162.3188,240.7706,122.6327,147.9152,119.4354,122.2985,0.4666666666666667
1310.484,0.05859375,1.009766,0.05273438,4.75,0.59375,4.4375,0.1210938,0.2978516,0.796875,-0.25,-3.0,-0.3125,-0.1787109,1.134766,-0.07519531,1.75,-1.40625,1.03125,162.3188,240.7706,122.6327,147.9152,119.4354,122.2985,0.5
1310.517,0.002929688,0.9394531,0.05957031,1.875,-0.125,-1.3125,0.140625,0.3144531,0.9755859,-1.1875,0.28125,-1.34375,-0.1787109,1.134766,-0.07519531,1.75,-1.40625,1.03125,162.3188,240.7706,122.6327,147.9152,119.4354,122.2985,0.5333333333333333
1310.55,0.002929688,0.9394531,0.05957031,1.875,-0.125,-1.3125,0.140625,0.3144531,0.9755859,-1.1875,0.28125,-1.34375,0.09082031,0.9609375,-0.1943359,0.90625,-1.46875,0.34375,162.3188,240.7706,122.6327,147.91,119.1963,121.7524,0.5666666666666667
1310.584,0.002929688,0.9394531,0.05957031,1.875,-0.125,-1.3125,0.1533203,0.3613281,0.9443359,0.28125,0.09375,0.46875,0.09082031,0.9609375,-0.1943359,0.90625,-1.46875,0.34375,162.4289,241.9421,121.9558,148.1775,118.9658,121.7848,0.6
