Metodo,Ajusten_clusters,Silhouette Score,Calinski-Harabasz Score,Davies-Bouldin Score,Ajuste,Quantidade_Cluster,Silhouette,Calinski_Harabasz,Davies_Bouldin
kMeans,,,,,media,2.0,0.6111271428737557,95.78483206287362,0.5554150244034042
kMeans,,,,,media,3.0,0.6439056592318867,159.95050282966636,0.46917097090834287
kMeans,,,,,media,4.0,0.685619275384917,219.50326607362118,0.42171875464933917
kMeans,,,,,media,5.0,0.5776762840506423,167.6383802368742,0.4528815238361209
kMeans,,,,,media,6.0,0.569179489869959,197.28823834215547,0.4421955694915251
kMeans,,,,,media,7.0,0.5829299313861048,205.42804569456698,0.46600861822011647
kMeans,,,,,media,2.0,0.6111271428737557,95.78483206287362,0.5554150244034042
kMeans,,,,,media,3.0,0.6439056592318867,159.95050282966636,0.46917097090834287
kMeans,,,,,media,4.0,0.685619275384917,219.50326607362118,0.42171875464933917
kMeans,,,,,media,5.0,0.5776762840506423,167.6383802368742,0.4528815238361209
kMeans,,,,,media,6.0,0.569179489869959,197.28823834215547,0.4421955694915251
kMeans,,,,,media,7.0,0.5829299313861048,205.42804569456698,0.46600861822011647
kMeans,,,,,media,2.0,0.6111271428737557,95.78483206287362,0.5554150244034042
kMeans,,,,,media,3.0,0.6439056592318867,159.95050282966636,0.46917097090834287
kMeans,,,,,media,4.0,0.685619275384917,219.50326607362118,0.42171875464933917
kMeans,,,,,media,5.0,0.5776762840506423,167.6383802368742,0.4528815238361209
kMeans,,,,,media,6.0,0.569179489869959,197.28823834215547,0.4421955694915251
kMeans,,,,,media,7.0,0.5829299313861048,205.42804569456698,0.46600861822011647
kMeans,,,,,media,2.0,0.6111271428737557,95.78483206287362,0.5554150244034042
kMeans,,,,,media,3.0,0.6439056592318867,159.95050282966636,0.46917097090834287
kMeans,,,,,media,4.0,0.685619275384917,219.50326607362118,0.42171875464933917
kMeans,,,,,media,5.0,0.5776762840506423,167.6383802368742,0.4528815238361209
kMeans,,,,,media,6.0,0.569179489869959,197.28823834215547,0.4421955694915251
kMeans,,,,,media,7.0,0.5829299313861048,205.42804569456698,0.46600861822011647
kMeans,,,,,media,8.0,0.6109602527366522,215.05582116225352,0.45658292864025446
kMeans,,,,,media,2.0,0.6111271428737557,95.78483206287362,0.5554150244034042
kMeans,,,,,media,3.0,0.6439056592318867,159.95050282966636,0.46917097090834287
kMeans,,,,,media,4.0,0.685619275384917,219.50326607362118,0.42171875464933917
kMeans,,,,,media,5.0,0.5776762840506423,167.6383802368742,0.4528815238361209
kMeans,,,,,media,6.0,0.569179489869959,197.28823834215547,0.4421955694915251
kMeans,,,,,media,7.0,0.5829299313861048,205.42804569456698,0.46600861822011647
kMeans,,,,,media,8.0,0.6109602527366522,215.05582116225352,0.45658292864025446
kMeansDTW,,,,,media,2.0,0.5184946982141032,49.679193960852494,0.5733837719489179
kMeansDTW,,,,,media,3.0,0.6439056592318867,159.95050282966636,0.46917097090834287
kMeansDTW,,,,,media,4.0,0.685619275384917,219.5032660736212,0.42171875464933917
kMeansDTW,,,,,media,5.0,0.6419708459412289,169.84304563561375,0.46655794794373406
kMeansDTW,,,,,media,6.0,0.5574767027821034,137.2820156628732,0.7301721241296489
kMeansDTW,,,,,media,7.0,0.4493281781551206,125.55646525687787,1.1703731318886799
kMeansDTW,,,,,media,8.0,0.4678281102938094,123.28219139860367,1.076494825738676
Aglomerative,,,,,media,2.0,0.5935454439782143,67.44928907740312,0.4153079520973517
Aglomerative,,,,,media,3.0,0.6628032053793897,165.55274763125618,0.47246746979646587
Aglomerative,,,,,media,4.0,0.685619275384917,219.50326607362118,0.42171875464933917
Aglomerative,,,,,media,5.0,0.6419708459412289,169.84304563561372,0.46655794794373406
Aglomerative,,,,,media,6.0,0.5338223213142461,148.49367749848736,1.024061486360256
Aglomerative,,,,,media,7.0,0.4493281781551206,125.55646525687787,1.1703731318886796
Aglomerative,,,,,media,8.0,0.4180592283174614,104.76874843236307,1.002372605891696
DBAKmeansDTW0,,,,,media,2.0,0.5184946982141032,49.679193960852494,0.5733837719489179
DBAKmeansDTW0,,,,,media,3.0,0.6439056592318867,159.95050282966636,0.46917097090834287
DBAKmeansDTW0,,,,,media,4.0,0.685619275384917,219.5032660736212,0.42171875464933917
DBAKmeansDTW0,,,,,media,5.0,0.6419708459412289,169.84304563561375,0.46655794794373406
DBAKmeansDTW0,,,,,media,6.0,0.5574767027821034,137.2820156628732,0.7301721241296489
DBAKmeansDTW0,,,,,media,7.0,0.4493281781551206,125.55646525687787,1.1703731318886799
DBAKmeansDTW0,,,,,media,8.0,0.4678281102938094,123.28219139860367,1.076494825738676
kMeans,,,,,mediana,2.0,0.6055429688458994,92.60941432753498,0.5626878856825572
kMeans,,,,,mediana,3.0,0.6494463161915776,163.22836006430265,0.45723367643464763
kMeans,,,,,mediana,4.0,0.6901318064325763,222.36847353297685,0.41229792330265047
kMeans,,,,,mediana,5.0,0.5785464546963585,169.26600905416393,0.45459912623741455
kMeans,,,,,mediana,6.0,0.5678119067045481,201.38043122178115,0.4471882588010468
kMeans,,,,,mediana,7.0,0.5808532243846098,211.16661004332914,0.469070564444074
kMeans,,,,,mediana,8.0,0.6105000446194738,222.63734713724025,0.45429533337989936
kMeansDTW,,,,,mediana,2.0,0.5338058917057679,52.24624794536605,0.5610709057609089
kMeansDTW,,,,,mediana,3.0,0.6494463161915776,163.22836006430265,0.45723367643464763
kMeansDTW,,,,,mediana,4.0,0.6901318064325763,222.3684735329768,0.41229792330265047
