timestamp,Quadrilx,Quadrily,Quadrilz,Joelhox,Joelhoy,Joelhoz
2.6386,96.15946,186.0821,225.4421,167.6466,116.1444,110.552
2.6719999999999997,96.00874,183.3663,224.4574,167.6466,116.1444,110.552
2.7054,96.00874,183.3663,224.4574,167.6466,116.1444,110.552
2.7388,96.00874,183.3663,224.4574,167.6466,116.1444,110.552
2.7721999999999998,95.73555,179.548,222.8475,167.6466,116.1444,110.552
2.8056,95.73555,179.548,222.8475,167.6466,116.1444,110.552
2.839,95.17334,176.1356,220.935,167.6466,116.1444,110.552
2.8724,95.17334,176.1356,220.935,167.6466,116.1444,110.552
2.9057999999999997,95.17334,176.1356,220.935,167.6466,116.1444,110.552
2.9392,94.58842,175.7382,220.1321,167.6466,116.1444,110.552
2.9726,94.58842,175.7382,220.1321,167.6466,116.1444,110.552
3.006,94.58842,175.7382,220.1321,167.6466,116.1444,110.552
3.0394,93.04851,172.9865,217.5104,167.6466,116.1444,110.552
3.0728,93.04851,172.9865,217.5104,167.6466,116.1444,110.552
3.1062,93.04851,172.9865,217.5104,167.6466,116.1444,110.552
3.1395999999999997,93.84874,177.5499,220.0995,167.6466,116.1444,110.552
3.173,93.84874,177.5499,220.0995,167.6466,116.1444,110.552
3.2064,93.84874,177.5499,220.0995,167.6466,116.1444,110.552
3.2398,95.11102,181.4626,222.4601,167.6466,116.1444,110.552
3.2732,95.11102,181.4626,222.4601,167.6466,116.1444,110.552
3.3066,95.11102,181.4626,222.4601,160.6355,115.4279,118.9301
3.34,93.18185,177.7364,218.1543,160.6355,115.4279,118.9301
3.3733999999999997,93.18185,177.7364,218.1543,160.6355,115.4279,118.9301
3.4068,93.66604,182.7525,219.4626,160.6355,115.4279,118.9301
3.4402,93.66604,182.7525,219.4626,160.6355,115.4279,118.9301
3.4736,93.66604,182.7525,219.4626,160.6355,115.4279,118.9301
3.507,94.19698,182.7019,219.9286,160.6355,115.4279,118.9301
3.5404,94.19698,182.7019,219.9286,160.6355,115.4279,118.9301
3.5738,94.19698,182.7019,219.9286,160.6355,115.4279,118.9301
3.6071999999999997,94.19698,182.7019,219.9286,160.6355,115.4279,118.9301
3.6406,94.87112,182.0889,220.9754,160.6355,115.4279,118.9301
3.674,94.87112,182.0889,220.9754,160.6355,115.4279,118.9301
3.7074,94.77787,179.8588,220.4376,160.6355,115.4279,118.9301
3.7408,94.77787,179.8588,220.4376,160.6355,115.4279,118.9301
3.7742,94.77787,179.8588,220.4376,160.6355,115.4279,118.9301
3.8076,94.49686,179.4316,220.1095,160.6355,115.4279,118.9301
3.8409999999999997,94.49686,179.4316,220.1095,160.6355,115.4279,118.9301
3.8744,94.49686,179.4316,220.1095,160.6355,115.4279,118.9301
3.9078,97.54328,188.4978,226.3039,160.6355,115.4279,118.9301
3.9412,97.54328,188.4978,226.3039,160.6355,115.4279,118.9301
3.9745999999999997,97.54328,188.4978,226.3039,160.6355,115.4279,118.9301
4.008,97.85314,191.155,227.2668,160.6355,115.4279,118.9301
4.0414,97.85314,191.155,227.2668,160.6355,115.4279,118.9301
4.0748,97.85314,191.155,227.2668,160.6355,115.4279,118.9301
4.1082,98.01744,190.9324,227.515,160.6355,115.4279,118.9301
4.1415999999999995,98.01744,190.9324,227.515,160.6355,115.4279,118.9301
4.175,98.01744,190.9324,227.515,160.6355,115.4279,118.9301
4.2084,97.87724,190.6651,227.4017,160.6355,115.4279,118.9301
4.2418,97.87724,190.6651,227.4017,160.6355,115.4279,118.9301
4.2752,97.87724,190.6651,227.4017,160.6355,115.4279,118.9301
