timestamp,Vol1Ex1,Vol1Ex2,Vol1Ex3,Vol1Ex4,Vol1Ex5,Vol2Ex1,Vol2Ex2,Vol2Ex3,Vol2Ex4,Vol2Ex5,Vol3Ex1,Vol3Ex2,Vol3Ex3,Vol3Ex4,Vol3Ex5,Vol4Ex1,Vol4Ex2,Vol4Ex3,Vol4Ex4,Vol4Ex5,Vol5Ex1,Vol5Ex2,Vol5Ex3,Vol5Ex4,Vol5Ex5,Vol6Ex1,Vol6Ex2,Vol6Ex3,Vol6Ex4,Vol6Ex5,Vol7Ex1,Vol7Ex2,Vol7Ex3,Vol7Ex4,Vol7Ex5
0.4342,85.35096,79.83355,78.41055,88.5323,94.05105,143.8656,138.9596,147.2528,147.9152,141.4482,225.8864,226.9135,230.4575,225.3964,229.7325,79.83355,78.41055,88.5323,94.05105,85.35096,138.9596,143.8656,147.2528,147.9152,141.4482,192.9248,172.0753,173.3021,204.8451,204.7937,219.5107,219.5107,219.5107,219.5107,219.5107
0.4676,85.35096,80.3871,78.41055,87.76046,94.05105,143.8656,138.9596,147.2528,147.9152,141.4482,225.8864,226.9309,230.4575,225.3964,229.7325,80.3871,78.41055,87.76046,94.05105,85.35096,138.9596,143.8656,147.2528,147.9152,141.4482,192.9248,172.0753,173.3021,204.8451,204.7937,219.5107,219.5107,219.5107,219.5107,219.5107
0.501,85.35096,80.3871,78.40774,87.76046,94.05105,143.8656,139.0629,147.1711,147.9152,141.4482,226.0672,226.9309,230.4575,225.3964,229.7325,80.3871,78.40774,87.76046,94.05105,85.35096,139.0629,143.8656,147.1711,147.9152,141.4482,192.9248,172.0753,173.3021,204.8451,203.2184,219.5107,219.5107,219.5107,219.5107,219.5107
0.5344,85.35096,80.3871,78.40774,87.76046,94.38657,143.1857,139.0629,147.1711,147.9152,141.4633,226.0672,226.8071,230.4575,225.341,229.5211,80.3871,78.40774,87.76046,94.38657,85.35096,139.0629,143.1857,147.1711,147.9152,141.4633,192.9248,172.0753,173.3021,204.8451,203.2184,219.5107,219.5107,219.5107,219.5107,219.5107
0.5678,84.77991,80.3871,78.40774,87.95224,94.38657,143.1857,139.0629,147.1711,147.91,141.4633,226.0672,226.8071,230.5638,225.341,229.5211,80.3871,78.40774,87.95224,94.38657,84.77991,139.0629,143.1857,147.1711,147.91,141.4633,192.9248,172.0753,173.3021,204.8451,203.2184,219.5107,219.5107,219.5107,219.5107,219.5107
0.6012,84.77991,79.66279,78.1289,87.95224,94.38657,143.4883,139.2362,147.0625,148.1775,141.4633,226.6198,226.8071,230.5638,225.341,229.5211,79.66279,78.1289,87.95224,94.38657,84.77991,139.2362,143.4883,147.0625,148.1775,141.4633,192.9248,172.0753,173.3021,204.8451,203.2184,219.5107,219.5107,219.5107,219.5107,219.5107
0.6345999999999999,84.77991,79.66279,78.1289,87.95224,94.32745,143.4883,139.2362,147.0625,148.1775,141.1997,226.6198,226.8071,230.0762,225.3222,229.2089,79.66279,78.1289,87.95224,94.32745,84.77991,139.2362,143.4883,147.0625,148.1775,141.1997,192.9248,172.0753,173.3021,204.8451,203.2184,219.5107,219.5107,219.5107,219.5107,219.5107
0.6679999999999999,84.66659,81.45201,78.1289,87.98847,94.32745,143.79,139.2362,147.0625,148.1775,141.1997,226.6198,226.6072,230.0762,225.3222,229.2089,81.45201,78.1289,87.98847,94.32745,84.66659,139.2362,143.79,147.0625,148.1775,141.1997,192.9248,172.0753,173.3021,204.8451,203.2184,219.5107,219.5107,219.5107,219.5107,219.5107
0.7014,84.33831,81.45201,78.1289,87.98847,94.32745,143.79,139.3157,146.7628,148.2699,141.1997,226.6569,226.6072,230.0762,225.3222,229.9251,81.45201,78.1289,87.98847,94.32745,84.33831,139.3157,143.79,146.7628,148.2699,141.1997,192.6127,172.0753,173.3021,204.8451,203.2184,219.5107,219.5107,219.5107,219.5107,219.5107
0.7348,84.33831,81.45201,78.82685,87.98847,94.09541,143.79,139.3157,146.7628,148.2699,141.2493,226.6569,226.2422,230.0337,225.2762,229.9251,81.45201,78.82685,87.98847,94.09541,84.33831,139.3157,143.79,146.7628,148.2699,141.2493,192.6127,172.0753,173.3021,204.8451,203.2184,219.5107,219.5107,219.5107,219.5107,219.5107
0.7682,84.33831,79.13477,78.82685,87.43053,94.09541,142.8483,139.3157,146.7628,148.2699,141.2493,226.6569,226.2422,230.0337,225.2762,229.9251,79.13477,78.82685,87.43053,94.09541,84.33831,139.3157,142.8483,146.7628,148.2699,141.2493,192.6127,172.0753,173.3021,204.8451,203.2184,219.5107,219.5107,219.5107,219.5107,219.5107
0.8016,84.33831,79.13477,78.82524,87.43053,94.09541,142.8483,138.5031,146.5497,148.0201,141.2493,226.7128,226.2422,230.0337,225.2762,229.7013,79.13477,78.82524,87.43053,94.09541,84.33831,138.5031,142.8483,146.5497,148.0201,141.2493,192.6127,172.0753,173.3021,204.8451,203.2184,219.5107,219.5107,219.5107,219.5107,219.5107
0.835,84.33831,79.13477,78.82524,86.73886,93.95815,142.8483,138.5031,146.5497,148.0201,141.5096,226.7128,226.3058,230.3215,225.366,229.7013,79.13477,78.82524,86.73886,93.95815,84.33831,138.5031,142.8483,146.5497,148.0201,141.5096,192.6127,172.0753,173.3021,204.8451,203.2184,219.5107,219.5107,219.5107,219.5107,219.5107
