timestamp,vol1ex1_qx,vol1ex1_qy,vol1ex1_qz,vol1ex1_jx,vol1ex1_jy,vol1ex1_jz,vol1ex2_qx,vol1ex2_qy,vol1ex2_qz,vol1ex2_jx,vol1ex2_jy,vol1ex2_jz,vol1ex3_qx,vol1ex3_qy,vol1ex3_qz,vol1ex3_jx,vol1ex3_jy,vol1ex3_jz,vol1ex4_qx,vol1ex4_qy,vol1ex4_qz,vol1ex4_jx,vol1ex4_jy,vol1ex4_jz,vol1ex5_qx,vol1ex5_qy,vol1ex5_qz,vol1ex5_jx,vol1ex5_jy,vol1ex5_jz,vol2ex1_qx,vol2ex1_qy,vol2ex1_qz,vol2ex1_jx,vol2ex1_jy,vol2ex1_jz,vol2ex2_qx,vol2ex2_qy,vol2ex2_qz,vol2ex2_jx,vol2ex2_jy,vol2ex2_jz,vol2ex3_qx,vol2ex3_qy,vol2ex3_qz,vol2ex3_jx,vol2ex3_jy,vol2ex3_jz,vol2ex4_qx,vol2ex4_qy,vol2ex4_qz,vol2ex4_jx,vol2ex4_jy,vol2ex4_jz,vol2ex5_qx,vol2ex5_qy,vol2ex5_qz,vol2ex5_jx,vol2ex5_jy,vol2ex5_jz,vol3ex1_qx,vol3ex1_qy,vol3ex1_qz,vol3ex1_jx,vol3ex1_jy,vol3ex1_jz,vol3ex2_qx,vol3ex2_qy,vol3ex2_qz,vol3ex2_jx,vol3ex2_jy,vol3ex2_jz,vol3ex3_qx,vol3ex3_qy,vol3ex3_qz,vol3ex3_jx,vol3ex3_jy,vol3ex3_jz,vol3ex4_qx,vol3ex4_qy,vol3ex4_qz,vol3ex4_jx,vol3ex4_jy,vol3ex4_jz,vol3ex5_qx,vol3ex5_qy,vol3ex5_qz,vol3ex5_jx,vol3ex5_jy,vol3ex5_jz,vol4ex1_qx,vol4ex1_qy,vol4ex1_qz,vol4ex1_jx,vol4ex1_jy,vol4ex1_jz,vol4ex2_qx,vol4ex2_qy,vol4ex2_qz,vol4ex2_jx,vol4ex2_jy,vol4ex2_jz,vol4ex3_qx,vol4ex3_qy,vol4ex3_qz,vol4ex3_jx,vol4ex3_jy,vol4ex3_jz,vol4ex4_qx,vol4ex4_qy,vol4ex4_qz,vol4ex4_jx,vol4ex4_jy,vol4ex4_jz,vol4ex5_qx,vol4ex5_qy,vol4ex5_qz,vol4ex5_jx,vol4ex5_jy,vol4ex5_jz,vol5ex1_qx,vol5ex1_qy,vol5ex1_qz,vol5ex1_jx,vol5ex1_jy,vol5ex1_jz,vol5ex2_qx,vol5ex2_qy,vol5ex2_qz,vol5ex2_jx,vol5ex2_jy,vol5ex2_jz,vol5ex3_qx,vol5ex3_qy,vol5ex3_qz,vol5ex3_jx,vol5ex3_jy,vol5ex3_jz,vol5ex4_qx,vol5ex4_qy,vol5ex4_qz,vol5ex4_jx,vol5ex4_jy,vol5ex4_jz,vol5ex5_qx,vol5ex5_qy,vol5ex5_qz,vol5ex5_jx,vol5ex5_jy,vol5ex5_jz,vol6ex1_qx,vol6ex1_qy,vol6ex1_qz,vol6ex1_jx,vol6ex1_jy,vol6ex1_jz,vol6ex2_qx,vol6ex2_qy,vol6ex2_qz,vol6ex2_jx,vol6ex2_jy,vol6ex2_jz,vol6ex3_qx,vol6ex3_qy,vol6ex3_qz,vol6ex3_jx,vol6ex3_jy,vol6ex3_jz,vol6ex4_qx,vol6ex4_qy,vol6ex4_qz,vol6ex4_jx,vol6ex4_jy,vol6ex4_jz,vol6ex5_qx,vol6ex5_qy,vol6ex5_qz,vol6ex5_jx,vol6ex5_jy,vol6ex5_jz,vol7ex1_qx,vol7ex1_qy,vol7ex1_qz,vol7ex1_jx,vol7ex1_jy,vol7ex1_jz,vol7ex2_qx,vol7ex2_qy,vol7ex2_qz,vol7ex2_jx,vol7ex2_jy,vol7ex2_jz,vol7ex3_qx,vol7ex3_qy,vol7ex3_qz,vol7ex3_jx,vol7ex3_jy,vol7ex3_jz,vol7ex4_qx,vol7ex4_qy,vol7ex4_qz,vol7ex4_jx,vol7ex4_jy,vol7ex4_jz,vol7ex5_qx,vol7ex5_qy,vol7ex5_qz,vol7ex5_jx,vol7ex5_jy,vol7ex5_jz
0.0,0.71875,102.9769,91.90424,186.9064,86.0516,198.7182,0.71875,101.1554,100.2091,191.6855,79.04637,211.6519,1.5625,102.426,102.1873,192.5762,79.92158,211.8773,0.03125,102.5426,105.661,188.0076,88.55168,212.1242,-0.0625,102.7003,96.97157,182.8365,94.18597,259.8781,0.28125,146.9494,278.4002,127.0876,144.2986,113.9988,-1.96875,175.9386,214.0361,119.9647,138.7671,111.9817,-0.625,172.3884,222.9294,121.5115,147.3392,117.6848,-0.6875,162.19,241.0829,123.8274,148.2097,118.4367,1.03125,149.0779,252.9057,127.5814,141.2494,123.4135,-0.0625,157.2349,210.8923,109.1871,226.3506,253.1396,0.59375,171.8303,192.9799,107.4915,226.4012,253.0789,0.34375,182.449,191.2794,107.5115,228.9453,246.6715,0.21875,167.5385,195.2876,107.6725,224.8585,254.724,3.71875,164.3024,219.0375,108.3361,229.7376,247.2258,0.71875,101.1554,100.2091,191.6855,79.04637,211.6519,1.5625,102.426,102.1873,192.5762,79.92158,211.8773,0.03125,102.5426,105.661,188.0076,88.55168,212.1242,-0.0625,102.7003,96.97157,182.8365,94.18597,259.8781,0.71875,102.9769,91.90424,186.9064,86.0516,198.7182,-1.96875,175.9386,214.0361,119.9647,138.7671,111.9817,0.28125,146.9494,278.4002,127.0876,144.2986,113.9988,-0.625,172.3884,222.9294,121.5115,147.3392,117.6848,-0.6875,162.19,241.0829,123.8274,148.2097,118.4367,1.03125,149.0779,252.9057,127.5814,141.2494,123.4135,0.84375,115.3782,109.27,224.893,192.9248,27.91749,0.15625,86.5944,163.609,205.4274,172.1902,128.2048,-0.1875,84.89524,201.6715,209.4399,173.6004,145.7893,-0.9375,100.9257,72.07112,206.1368,204.8451,294.8318,-0.5,107.4165,87.16593,211.1522,208.2256,287.2693,-47.8125,79.13081,187.7594,196.3353,219.5107,316.9044,-47.8125,85.79642,182.4577,193.8592,219.5107,316.9044,-47.8125,185.3555,350.6765,291.0014,219.5107,316.9044,-47.8125,148.2259,308.6826,277.2512,219.5107,316.9044,-47.8125,131.6766,283.0572,264.6223,219.5107,316.9044
0.0334,0.71875,102.9769,91.90424,186.9064,86.0516,198.7182,2.71875,101.1554,100.2091,191.6855,79.42403,211.3341,-2.34375,102.426,102.1873,192.5762,79.92158,211.8773,0.03125,102.5426,105.661,188.0076,88.55168,212.1242,-0.4375,102.7003,96.97157,182.8365,94.36861,264.5332,0.28125,146.9494,278.4002,127.0876,144.2986,113.9988,-0.4375,175.9386,214.0361,119.9647,138.7671,111.9817,-0.625,172.3884,222.9294,121.5115,147.2379,117.5672,-0.6875,162.19,241.0829,123.8274,148.2097,118.4367,1.03125,149.1469,253.1017,127.5577,141.5081,123.5234,-1.1875,157.2349,210.8923,109.1871,226.3506,253.1396,0.59375,171.8303,192.9799,107.4915,226.4012,253.0789,0.34375,182.449,191.2794,107.5115,230.1221,247.1588,0.21875,167.5385,195.2876,107.6725,224.8585,254.724,2.3125,164.3024,219.0375,108.3361,229.7376,247.2258,2.71875,101.1554,100.2091,191.6855,79.42403,211.3341,-2.34375,102.426,102.1873,192.5762,79.92158,211.8773,0.03125,102.5426,105.661,188.0076,88.55168,212.1242,-0.4375,102.7003,96.97157,182.8365,94.36861,264.5332,0.71875,102.9769,91.90424,186.9064,86.0516,198.7182,-0.4375,175.9386,214.0361,119.9647,138.7671,111.9817,0.28125,146.9494,278.4002,127.0876,144.2986,113.9988,-0.625,172.3884,222.9294,121.5115,147.2379,117.5672,-0.6875,162.19,241.0829,123.8274,148.2097,118.4367,1.03125,149.1469,253.1017,127.5577,141.5081,123.5234,0.84375,115.3782,109.27,224.893,192.9248,27.91749,0.15625,86.77091,164.279,205.7661,172.1767,129.0104,-0.1875,84.66002,201.9867,209.5141,173.1956,145.5464,-0.8125,100.9257,72.07112,206.1368,204.8451,294.8318,-0.5,107.4165,87.16593,211.1522,208.2256,287.2693,-47.8125,79.13081,187.7594,196.3353,219.5107,316.9044,-47.8125,85.79642,182.4577,193.8592,219.5107,316.9044,-47.8125,185.3555,350.6765,291.0014,219.5107,316.9044,-47.8125,148.2259,308.6826,277.2512,219.5107,316.9044,-47.8125,128.9778,278.6195,263.2088,219.5107,316.9044
0.0668,-0.25,102.9769,91.90424,186.9064,86.24536,198.8709,2.71875,101.1554,100.2091,191.6855,79.42403,211.3341,-2.34375,102.426,102.1873,192.5762,79.92158,211.8773,-0.0625,102.5426,105.661,188.0076,88.72372,211.8111,-0.4375,102.7003,96.97157,182.8365,94.36861,264.5332,-0.125,146.9449,277.7802,127.3887,144.2986,113.9988,-0.4375,175.9386,214.0361,119.9647,138.7671,111.9817,-0.625,172.3884,222.9294,121.5115,147.2379,117.5672,-0.5625,162.19,241.0829,123.8274,148.2097,118.4367,1.03125,149.1469,253.1017,127.5577,141.5081,123.5234,-1.1875,157.2349,210.8923,109.1871,226.3506,253.1396,0.59375,171.8303,192.9799,107.4915,226.3842,252.9356,0.21875,182.449,191.2794,107.5115,230.1221,247.1588,0.46875,167.5385,195.2876,107.6725,224.6843,255.309,2.3125,164.3024,219.0375,108.3361,230.1396,247.8049,2.71875,101.1554,100.2091,191.6855,79.42403,211.3341,-2.34375,102.426,102.1873,192.5762,79.92158,211.8773,-0.0625,102.5426,105.661,188.0076,88.72372,211.8111,-0.4375,102.7003,96.97157,182.8365,94.36861,264.5332,-0.25,102.9769,91.90424,186.9064,86.24536,198.8709,-0.4375,175.9386,214.0361,119.9647,138.7671,111.9817,-0.125,146.9449,277.7802,127.3887,144.2986,113.9988,-0.625,172.3884,222.9294,121.5115,147.2379,117.5672,-0.5625,162.19,241.0829,123.8274,148.2097,118.4367,1.03125,149.1469,253.1017,127.5577,141.5081,123.5234,0.84375,115.6927,107.676,225.3051,192.9248,27.91749,0.15625,86.77091,164.279,205.7661,172.1767,129.0104,-0.1875,84.66002,201.9867,209.5141,173.1956,145.5464,-0.8125,100.9257,72.07112,206.1368,204.8451,294.8318,-0.5,107.4165,87.16593,211.1522,207.7024,288.4426,-47.8125,81.19794,193.1862,199.7488,219.5107,316.9044,-47.8125,85.79642,182.4577,193.8592,219.5107,316.9044,-47.8125,185.3555,350.6765,291.0014,219.5107,316.9044,-47.8125,148.2259,308.6826,277.2512,219.5107,316.9044,-47.8125,128.9778,278.6195,263.2088,219.5107,316.9044
0.1002,-0.25,102.9769,91.90424,186.9064,85.88944,199.3856,2.71875,101.1554,100.2091,191.6855,79.42403,211.3341,-3.3125,102.426,102.1873,192.5762,79.92158,211.8773,-0.0625,102.5426,105.661,188.0076,88.72372,211.8111,-0.4375,102.7003,96.97157,182.8365,94.36861,264.5332,-0.125,146.9449,277.7802,127.3887,144.4738,114.5139,-1.125,175.9386,214.0361,119.9647,138.6201,111.8464,-0.4375,172.0212,223.385,121.5912,147.2379,117.5672,-0.5625,162.19,241.0829,123.8274,148.2097,118.4367,-0.5625,149.1469,253.1017,127.5577,141.5081,123.5234,-0.25,158.1242,212.4694,109.5206,226.7847,252.0546,-0.8125,171.6905,192.8285,107.1182,226.3842,252.9356,0.21875,182.449,191.2794,107.5115,230.1221,247.1588,0.46875,167.5385,195.2876,107.6725,224.6843,255.309,2.3125,164.5769,218.4573,109.3717,230.1396,247.8049,2.71875,101.1554,100.2091,191.6855,79.42403,211.3341,-3.3125,102.426,102.1873,192.5762,79.92158,211.8773,-0.0625,102.5426,105.661,188.0076,88.72372,211.8111,-0.4375,102.7003,96.97157,182.8365,94.36861,264.5332,-0.25,102.9769,91.90424,186.9064,85.88944,199.3856,-1.125,175.9386,214.0361,119.9647,138.6201,111.8464,-0.125,146.9449,277.7802,127.3887,144.4738,114.5139,-0.4375,172.0212,223.385,121.5912,147.2379,117.5672,-0.5625,162.19,241.0829,123.8274,148.2097,118.4367,-0.5625,149.1469,253.1017,127.5577,141.5081,123.5234,0.84375,115.6927,107.676,225.3051,192.9248,27.91749,0.15625,86.77091,164.279,205.7661,172.1767,129.0104,0.59375,84.66002,201.9867,209.5141,173.1956,145.5464,-0.8125,100.8535,69.80959,206.8558,204.8451,294.8318,-0.5,106.8421,85.5334,212.5043,207.7024,288.4426,-47.8125,81.19794,193.1862,199.7488,219.5107,316.9044,-47.8125,85.88364,182.9451,194.1755,219.5107,316.9044,-47.8125,185.3555,350.6765,291.0014,219.5107,316.9044,-47.8125,148.2259,308.6826,277.2512,219.5107,316.9044,-47.8125,128.879,278.7604,263.1512,219.5107,316.9044
0.1336,0.40625,102.9769,91.90424,186.9064,85.88944,199.3856,2.5,101.1554,100.2091,191.6855,79.89925,210.8526,-3.3125,102.426,102.1873,192.5762,79.41667,211.2648,-0.0625,102.5426,105.661,188.0076,88.72372,211.8111,0.46875,102.7003,96.97157,182.8365,94.40106,263.8234,0.34375,146.6988,277.4046,127.3892,144.5396,114.6711,-1.125,175.9386,214.0361,119.9647,138.6201,111.8464,-0.4375,172.0212,223.385,121.5912,146.82,116.9442,-0.5625,162.19,241.0829,123.8274,148.2097,118.4367,-0.5625,149.2664,253.0226,127.7936,141.0038,123.6598,-0.25,158.1242,212.4694,109.5206,226.7847,252.0546,-0.8125,171.6905,192.8285,107.1182,226.3842,252.9356,0.21875,182.449,191.2794,107.5115,229.9655,247.3885,0.0,167.5385,195.2876,107.6725,224.5808,254.9034,2.3125,164.5769,218.4573,109.3717,230.2782,246.402,2.5,101.1554,100.2091,191.6855,79.89925,210.8526,-3.3125,102.426,102.1873,192.5762,79.41667,211.2648,-0.0625,102.5426,105.661,188.0076,88.72372,211.8111,0.46875,102.7003,96.97157,182.8365,94.40106,263.8234,0.40625,102.9769,91.90424,186.9064,85.88944,199.3856,-1.125,175.9386,214.0361,119.9647,138.6201,111.8464,0.34375,146.6988,277.4046,127.3892,144.5396,114.6711,-0.4375,172.0212,223.385,121.5912,146.82,116.9442,-0.5625,162.19,241.0829,123.8274,148.2097,118.4367,-0.5625,149.2664,253.0226,127.7936,141.0038,123.6598,0.84375,115.6927,107.676,225.3051,192.9248,27.91749,0.09375,86.57932,164.2958,205.7103,172.1767,129.0104,0.59375,84.66002,201.9867,209.5141,173.1956,145.5464,-0.8125,100.8535,69.80959,206.8558,204.8451,294.8318,-0.5,106.8421,85.5334,212.5043,207.7024,288.4426,-47.8125,81.19794,193.1862,199.7488,219.5107,316.9044,-47.8125,85.88364,182.9451,194.1755,219.5107,316.9044,-47.8125,185.3555,350.6765,291.0014,219.5107,316.9044,-47.8125,148.2259,308.6826,277.2512,219.5107,316.9044,-47.8125,128.879,278.7604,263.1512,219.5107,316.9044
0.16699999999999998,0.40625,103.3091,91.5836,186.5158,85.88944,199.3856,2.5,101.2454,97.30264,188.4342,80.83653,203.1955,-3.3125,102.426,102.1873,192.5762,79.41667,211.2648,-0.1875,102.484,106.7725,187.8024,88.67191,209.9989,0.46875,102.7003,96.97157,182.8365,94.40106,263.8234,0.34375,146.6988,277.4046,127.3892,144.5396,114.6711,-1.125,175.9386,214.0361,119.9647,138.6201,111.8464,0.0,172.0212,223.385,121.5912,146.82,116.9442,1.75,162.19,241.0829,123.8274,147.5279,118.5507,0.28125,149.2664,253.0226,127.7936,141.0038,123.6598,-0.25,158.1242,212.4694,109.5206,226.7847,252.0546,-0.4375,171.6905,192.8285,107.1182,226.3842,252.9356,-0.4375,182.449,191.2794,107.5115,230.0362,247.1186,0.0,167.5385,195.2876,107.6725,224.5808,254.9034,-1.0,164.5769,218.4573,109.3717,230.2782,246.402,2.5,101.2454,97.30264,188.4342,80.83653,203.1955,-3.3125,102.426,102.1873,192.5762,79.41667,211.2648,-0.1875,102.484,106.7725,187.8024,88.67191,209.9989,0.46875,102.7003,96.97157,182.8365,94.40106,263.8234,0.40625,103.3091,91.5836,186.5158,85.88944,199.3856,-1.125,175.9386,214.0361,119.9647,138.6201,111.8464,0.34375,146.6988,277.4046,127.3892,144.5396,114.6711,0.0,172.0212,223.385,121.5912,146.82,116.9442,1.75,162.19,241.0829,123.8274,147.5279,118.5507,0.28125,149.2664,253.0226,127.7936,141.0038,123.6598,-0.125,115.4682,108.6529,225.2866,192.9248,27.91749,0.71875,86.57932,164.2958,205.7103,172.1767,129.0104,0.59375,84.66002,201.9867,209.5141,173.1956,145.5464,-0.8125,100.8535,69.80959,206.8558,204.8451,294.8318,-0.5,104.2263,93.01415,214.2243,206.5803,293.064,-47.8125,81.19794,193.1862,199.7488,219.5107,316.9044,-47.8125,85.73505,183.1089,194.2007,219.5107,316.9044,-47.8125,185.3555,350.6765,291.0014,219.5107,316.9044,-47.8125,148.2259,308.6826,277.2512,219.5107,316.9044,-47.8125,128.879,278.7604,263.1512,219.5107,316.9044
0.2004,0.40625,103.3091,91.5836,186.5158,85.92782,195.6701,2.5,101.2454,97.30264,188.4342,80.83653,203.1955,-0.4375,102.426,102.1873,192.5762,79.02091,209.2539,-0.1875,102.484,106.7725,187.8024,88.67191,209.9989,0.46875,102.7003,96.97157,182.8365,94.40106,263.8234,0.34375,146.6988,277.4046,127.3892,144.2548,114.8097,-1.125,175.9386,214.0361,119.9647,138.6809,112.0408,0.0,172.0212,223.385,121.5912,146.6134,117.4524,1.75,162.19,241.0829,123.8274,147.319,119.0159,0.28125,149.2664,253.0226,127.7936,141.0038,123.6598,0.53125,158.1242,212.4694,109.5206,226.5491,252.4267,-0.4375,171.6955,192.7889,107.4139,226.3439,252.8154,-0.4375,183.3736,193.5742,107.2978,230.0362,247.1186,0.0,167.5385,195.2876,107.6725,224.5808,254.9034,-1.0,165.0999,219.4877,109.9926,230.2782,246.402,2.5,101.2454,97.30264,188.4342,80.83653,203.1955,-0.4375,102.426,102.1873,192.5762,79.02091,209.2539,-0.1875,102.484,106.7725,187.8024,88.67191,209.9989,0.46875,102.7003,96.97157,182.8365,94.40106,263.8234,0.40625,103.3091,91.5836,186.5158,85.92782,195.6701,-1.125,175.9386,214.0361,119.9647,138.6809,112.0408,0.34375,146.6988,277.4046,127.3892,144.2548,114.8097,0.0,172.0212,223.385,121.5912,146.6134,117.4524,1.75,162.19,241.0829,123.8274,147.319,119.0159,0.28125,149.2664,253.0226,127.7936,141.0038,123.6598,-0.125,115.4682,108.6529,225.2866,192.9248,27.91749,0.71875,86.57932,164.2958,205.7103,172.1767,129.0104,-0.25,84.69424,201.7093,209.5197,173.1956,145.5464,-0.1875,99.36116,77.3144,207.405,204.8451,294.8318,-0.5,104.2263,93.01415,214.2243,206.5803,293.064,-47.8125,81.19794,193.1862,199.7488,219.5107,316.9044,-47.8125,85.73505,183.1089,194.2007,219.5107,316.9044,-47.8125,185.3555,350.6765,291.0014,219.5107,316.9044,-47.8125,148.2259,308.6826,277.2512,219.5107,316.9044,-47.8125,128.879,278.7604,263.1512,219.5107,316.9044
0.2338,0.46875,103.3091,91.5836,186.5158,85.92782,195.6701,2.5,101.2454,97.30264,188.4342,80.83653,203.1955,-0.4375,102.5147,100.884,193.1814,79.02091,209.2539,-0.1875,102.484,106.7725,187.8024,88.67191,209.9989,0.34375,102.6683,96.53457,183.4072,94.27642,265.655,0.34375,146.6988,277.4046,127.3892,144.2548,114.8097,2.0,175.9386,214.0361,119.9647,138.6809,112.0408,0.0,172.0212,223.385,121.5912,146.6134,117.4524,1.75,162.19,241.0829,123.8274,147.319,119.0159,0.28125,149.2664,253.0226,127.7936,141.1893,123.537,0.53125,158.1242,212.4694,109.5206,226.5491,252.4267,-0.8125,171.6955,192.7889,107.4139,226.3019,252.9134,-1.0625,183.3736,193.5742,107.2978,230.0362,247.1186,0.53125,167.5385,195.2876,107.6725,224.4886,255.2285,-1.0,165.0999,219.4877,109.9926,230.3645,245.1483,2.5,101.2454,97.30264,188.4342,80.83653,203.1955,-0.4375,102.5147,100.884,193.1814,79.02091,209.2539,-0.1875,102.484,106.7725,187.8024,88.67191,209.9989,0.34375,102.6683,96.53457,183.4072,94.27642,265.655,0.46875,103.3091,91.5836,186.5158,85.92782,195.6701,2.0,175.9386,214.0361,119.9647,138.6809,112.0408,0.34375,146.6988,277.4046,127.3892,144.2548,114.8097,0.0,172.0212,223.385,121.5912,146.6134,117.4524,1.75,162.19,241.0829,123.8274,147.319,119.0159,0.28125,149.2664,253.0226,127.7936,141.1893,123.537,-0.125,115.4682,108.6529,225.2866,192.9248,27.91749,0.09375,86.81783,163.4022,205.612,172.0753,128.5481,-0.25,84.69424,201.7093,209.5197,173.1956,145.5464,-0.1875,99.36116,77.3144,207.405,204.8451,294.8318,-0.5,104.2263,93.01415,214.2243,206.5803,293.064,-47.8125,81.19794,193.1862,199.7488,219.5107,316.9044,-47.8125,85.73505,183.1089,194.2007,219.5107,316.9044,-47.8125,185.3555,350.6765,291.0014,219.5107,316.9044,-47.8125,148.2259,308.6826,277.2512,219.5107,316.9044,-47.8125,128.879,278.7604,263.1512,219.5107,316.9044
0.2672,0.46875,103.3091,91.5836,186.5158,85.92782,195.6701,2.5,101.2454,97.30264,188.4342,80.84084,203.2736,-0.4375,102.5147,100.884,193.1814,79.02091,209.2539,0.0,102.6689,106.1275,188.1303,89.01524,213.5746,0.34375,102.6683,96.53457,183.4072,94.27642,265.655,0.34375,146.6988,277.4046,127.3892,144.2548,114.8097,2.0,176.0124,213.9696,120.0104,138.6809,112.0408,0.46875,172.0212,223.385,121.5912,146.6134,117.4524,-0.125,162.19,241.0829,123.8274,147.319,119.0159,0.09375,149.2664,253.0226,127.7936,141.1893,123.537,0.53125,158.1242,212.4694,109.5206,226.5491,252.4267,-0.8125,171.6955,192.7889,107.4139,226.3019,252.9134,-1.0625,183.3736,193.5742,107.2978,231.1275,246.9743,0.65625,167.5385,195.2876,107.6725,224.4886,255.2285,-0.1875,165.0999,219.4877,109.9926,230.3645,245.1483,2.5,101.2454,97.30264,188.4342,80.84084,203.2736,-0.4375,102.5147,100.884,193.1814,79.02091,209.2539,0.0,102.6689,106.1275,188.1303,89.01524,213.5746,0.34375,102.6683,96.53457,183.4072,94.27642,265.655,0.46875,103.3091,91.5836,186.5158,85.92782,195.6701,2.0,176.0124,213.9696,120.0104,138.6809,112.0408,0.34375,146.6988,277.4046,127.3892,144.2548,114.8097,0.46875,172.0212,223.385,121.5912,146.6134,117.4524,-0.125,162.19,241.0829,123.8274,147.319,119.0159,0.09375,149.2664,253.0226,127.7936,141.1893,123.537,-0.125,115.1943,109.5731,225.1475,192.9248,27.91749,0.09375,86.81783,163.4022,205.612,172.0753,128.5481,-0.25,84.69424,201.7093,209.5197,173.1956,145.5464,-0.1875,96.61739,102.5227,208.7452,204.8451,294.8318,-0.5,100.3374,120.0758,217.518,206.5803,293.064,-47.8125,81.19794,193.1862,199.7488,219.5107,316.9044,-47.8125,85.73505,183.1089,194.2007,219.5107,316.9044,-47.8125,185.8687,351.748,290.6389,219.5107,316.9044,-47.8125,148.2259,308.6826,277.2512,219.5107,316.9044,-47.8125,128.879,278.7604,263.1512,219.5107,316.9044
0.3006,0.46875,103.3091,91.5836,186.5158,85.91203,195.7838,1.6875,101.2454,97.30264,188.4342,80.84084,203.2736,0.28125,102.5147,100.884,193.1814,79.02091,209.2539,0.0,102.6689,106.1275,188.1303,89.01524,213.5746,0.34375,102.6683,96.53457,183.4072,94.27642,265.655,0.34375,146.6988,277.4046,127.3892,144.1631,114.9127,2.0,176.0124,213.9696,120.0104,138.6665,112.1339,0.46875,172.5464,225.6873,120.8569,147.4822,115.419,-0.125,162.5626,240.709,123.1638,148.1879,119.7084,0.09375,149.2664,253.0226,127.7936,141.1893,123.537,0.65625,158.1242,212.4694,109.5206,226.9962,252.7521,-0.8125,171.6955,192.7889,107.4139,226.3019,252.9134,-1.0625,183.3736,193.5742,107.2978,231.1275,246.9743,0.65625,167.5385,195.2876,107.6725,224.4886,255.2285,-0.1875,165.0999,219.4877,109.9926,230.3645,245.1483,1.6875,101.2454,97.30264,188.4342,80.84084,203.2736,0.28125,102.5147,100.884,193.1814,79.02091,209.2539,0.0,102.6689,106.1275,188.1303,89.01524,213.5746,0.34375,102.6683,96.53457,183.4072,94.27642,265.655,0.46875,103.3091,91.5836,186.5158,85.91203,195.7838,2.0,176.0124,213.9696,120.0104,138.6665,112.1339,0.34375,146.6988,277.4046,127.3892,144.1631,114.9127,0.46875,172.5464,225.6873,120.8569,147.4822,115.419,-0.125,162.5626,240.709,123.1638,148.1879,119.7084,0.09375,149.2664,253.0226,127.7936,141.1893,123.537,-0.125,115.1943,109.5731,225.1475,192.9248,27.91749,0.09375,86.81783,163.4022,205.612,172.0753,128.5481,-0.25,84.65916,200.0932,209.3612,173.0914,145.4256,-0.1875,96.61739,102.5227,208.7452,204.8451,294.8318,-0.5,100.3374,120.0758,217.518,204.7937,316.4949,-47.8125,81.19794,193.1862,199.7488,219.5107,316.9044,-47.8125,86.27876,183.55,194.7475,219.5107,316.9044,-47.8125,185.8687,351.748,290.6389,219.5107,316.9044,-47.8125,148.2259,308.6826,277.2512,219.5107,316.9044,-47.8125,128.879,278.7604,263.1512,219.5107,316.9044
